File Exported by Q - (c) 2009 Affectiva Inc.
File Version: 1.01
Firmware Version: 1.81
UUID: AQL11132012
Sampling Rate: 32
Start Time: Unset
Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
---------------------------------------------------------
00:00:00.000,0.350,0.630,-0.420,-1,23.500,0.000,0
00:00:00.031,0.360,0.630,-0.380,-1,23.500,0.000,0
00:00:00.062,0.370,0.620,-0.370,-1,23.500,0.000,0
00:00:00.093,0.370,0.620,-0.380,-1,23.500,0.000,0
00:00:00.125,0.370,0.620,-0.390,-1,23.500,0.000,0
00:00:00.156,0.360,0.610,-0.390,-1,23.500,0.000,0
00:00:00.187,0.360,0.610,-0.400,-1,23.500,0.000,0
00:00:00.218,0.370,0.620,-0.400,-1,23.500,0.000,0
00:00:00.250,0.360,0.620,-0.400,-1,23.700,0.000,0
00:00:00.281,0.360,0.620,-0.400,-1,23.500,0.000,0
00:00:00.312,0.360,0.620,-0.400,-1,23.500,0.000,0
00:00:00.343,0.370,0.620,-0.390,-1,23.500,0.000,0
00:00:00.375,0.350,0.620,-0.390,-1,23.700,0.000,0
00:00:00.406,0.350,0.600,-0.390,-1,23.500,0.000,0
00:00:00.437,0.360,0.630,-0.400,-1,23.500,0.000,0
00:00:00.468,0.360,0.610,-0.410,-1,23.700,0.000,0
00:00:00.500,0.360,0.610,-0.400,-1,23.500,0.000,0
00:00:00.531,0.360,0.630,-0.400,-1,23.700,0.000,0
00:00:00.562,0.360,0.610,-0.390,-1,23.700,0.000,0
00:00:00.593,0.360,0.610,-0.400,-1,23.700,0.000,0
00:00:00.625,0.360,0.620,-0.400,-1,23.500,0.000,0
00:00:00.656,0.350,0.610,-0.400,-1,23.700,0.000,0
00:00:00.687,0.360,0.610,-0.400,-1,23.700,0.000,0
00:00:00.718,0.350,0.620,-0.410,-1,23.700,0.000,0
00:00:00.750,0.360,0.620,-0.410,-1,23.500,0.000,0
00:00:00.781,0.350,0.610,-0.400,-1,23.700,0.000,0
00:00:00.812,0.350,0.600,-0.410,-1,23.700,0.000,0
00:00:00.843,0.360,0.630,-0.410,-1,23.700,0.000,0
00:00:00.875,0.350,0.630,-0.400,-1,23.500,0.000,0
00:00:00.906,0.240,0.590,-0.410,-1,23.500,0.000,0
00:00:00.937,0.360,0.610,-0.410,-1,23.700,0.000,0
00:00:00.968,0.330,0.580,-0.400,-1,23.700,0.000,0
00:00:01.000,0.360,0.610,-0.400,-1,23.700,0.000,0
00:00:01.031,0.360,0.600,-0.400,-1,23.700,0.000,0
00:00:01.062,0.360,0.610,-0.410,-1,23.500,0.000,0
00:00:01.093,0.360,0.620,-0.410,-1,23.700,0.000,0
00:00:01.125,0.360,0.610,-0.420,-1,23.700,0.000,0
00:00:01.156,0.360,0.610,-0.420,-1,23.700,0.000,0
00:00:01.187,0.350,0.610,-0.420,-1,23.500,0.000,0
00:00:01.218,0.360,0.610,-0.420,-1,23.700,0.000,0
00:00:01.250,0.360,0.600,-0.420,-1,23.700,0.000,0
00:00:01.281,0.360,0.600,-0.420,-1,23.700,0.000,0
00:00:01.312,0.350,0.570,-0.430,-1,23.700,0.000,0
00:00:01.343,0.370,0.600,-0.410,-1,23.700,0.000,0
00:00:01.375,0.370,0.590,-0.390,-1,23.500,0.000,0
00:00:01.406,0.360,0.570,-0.400,-1,23.700,0.000,0
00:00:01.437,0.360,0.570,-0.440,-1,23.700,0.000,0
00:00:01.468,0.360,0.620,-0.440,-1,23.700,0.000,0
00:00:01.500,0.350,0.600,-0.420,-1,23.700,0.000,0
00:00:01.531,0.360,0.570,-0.430,-1,23.700,0.000,0
00:00:01.562,0.370,0.600,-0.440,-1,23.700,0.000,0
00:00:01.593,0.360,0.570,-0.430,-1,23.700,0.000,0
00:00:01.625,0.360,0.590,-0.440,-1,23.700,0.000,0
00:00:01.656,0.360,0.580,-0.430,-1,23.700,0.000,0
00:00:01.687,0.360,0.580,-0.440,-1,23.700,0.000,0
00:00:01.718,0.360,0.580,-0.440,-1,23.700,0.000,0
00:00:01.750,0.360,0.580,-0.440,-1,23.700,0.000,0
00:00:01.781,0.360,0.580,-0.440,-1,23.700,0.000,0
00:00:01.812,0.360,0.580,-0.430,-1,23.700,0.000,0
00:00:01.843,0.360,0.590,-0.440,-1,23.700,0.000,0
00:00:01.875,0.360,0.570,-0.430,-1,23.700,0.000,0
00:00:01.906,0.360,0.580,-0.450,-1,23.700,0.000,0
00:00:01.937,0.350,0.580,-0.450,-1,23.700,0.000,0
00:00:01.968,0.350,0.570,-0.450,-1,23.700,0.000,0
00:00:02.000,0.360,0.570,-0.440,-1,23.700,0.000,0
00:00:02.031,0.360,0.580,-0.450,-1,23.700,0.000,0
00:00:02.062,0.360,0.570,-0.450,-1,23.700,0.000,0
00:00:02.093,0.360,0.570,-0.450,-1,23.700,0.000,0
00:00:02.125,0.360,0.570,-0.450,-1,23.700,0.000,0
00:00:02.156,0.350,0.580,-0.450,-1,23.700,0.000,0
00:00:02.187,0.350,0.570,-0.460,-1,23.700,0.000,0
00:00:02.218,0.360,0.570,-0.450,-1,23.700,0.000,0
00:00:02.250,0.360,0.570,-0.450,-1,23.700,0.000,0
00:00:02.281,0.370,0.560,-0.460,-1,23.700,0.000,0
