File Exported by Q - (c) 2009 Affectiva Inc.
File Version: 1.01
Firmware Version: 1.81
UUID: AQL11132012
Sampling Rate: 32
Start Time: 2018-02-22 09:20:14 Offset:-05
Time,Z-axis,Y-axis,X-axis,Battery,∞Celsius,EDA(uS),Event
---------------------------------------------------------
09:20:14.000,0.140,0.960,0.280,-1,40.400,0.359,0
09:20:14.031,0.160,0.880,0.270,-1,40.000,0.360,0
09:20:14.062,0.160,0.860,0.300,-1,40.000,0.359,0
09:20:14.093,0.170,0.880,0.240,-1,40.000,0.362,0
09:20:14.125,0.150,0.910,0.220,-1,40.000,0.360,0
09:20:14.156,0.170,0.900,0.210,-1,40.000,0.360,0
09:20:14.187,0.200,0.870,0.280,-1,40.000,0.360,0
09:20:14.218,0.180,0.840,0.240,-1,40.000,0.360,0
09:20:14.250,0.200,0.860,0.210,-1,40.000,0.360,0
09:20:14.281,0.240,0.900,0.230,-1,40.000,0.360,0
09:20:14.312,0.260,0.860,0.260,-1,40.000,0.359,0
09:20:14.343,0.260,0.830,0.260,-1,40.000,0.360,0
09:20:14.375,0.250,0.870,0.300,-1,40.000,0.358,0
09:20:14.406,0.220,0.900,0.250,-1,40.000,0.358,0
09:20:14.437,0.210,0.930,0.230,-1,40.000,0.360,0
09:20:14.468,0.180,0.930,0.230,-1,40.000,0.357,0
09:20:14.500,0.200,0.900,0.230,-1,40.000,0.354,0
09:20:14.531,0.220,0.940,0.230,-1,40.000,0.360,0
09:20:14.562,0.220,0.920,0.210,-1,40.000,0.358,0
09:20:14.593,0.220,0.910,0.230,-1,40.000,0.360,0
09:20:14.625,0.220,0.910,0.210,-1,40.000,0.359,0
09:20:14.656,0.210,0.900,0.200,-1,40.000,0.359,0
09:20:14.687,0.220,0.860,0.200,-1,40.000,0.359,0
09:20:14.718,0.230,0.880,0.240,-1,40.000,0.359,0
09:20:14.750,0.200,0.920,0.200,-1,40.000,0.360,0
09:20:14.781,0.190,0.930,0.170,-1,40.000,0.360,0
09:20:14.812,0.200,0.900,0.170,-1,40.000,0.360,0
09:20:14.843,0.210,0.820,0.190,-1,40.000,0.360,0
09:20:14.875,0.210,0.850,0.220,-1,40.000,0.360,0
09:20:14.906,0.200,0.960,0.180,-1,39.700,0.360,0
09:20:14.937,0.230,0.950,0.180,-1,40.000,0.360,0
09:20:14.968,0.210,0.910,0.180,-1,40.000,0.359,0
09:20:15.000,0.210,0.910,0.170,-1,40.000,0.359,0
09:20:15.031,0.220,0.910,0.160,-1,40.000,0.359,0
09:20:15.062,0.210,0.910,0.170,-1,39.700,0.360,0
09:20:15.093,0.210,0.890,0.150,-1,40.000,0.359,0
09:20:15.125,0.210,0.890,0.160,-1,40.000,0.357,0
09:20:15.156,0.210,0.900,0.170,-1,40.000,0.359,0
09:20:15.187,0.220,0.900,0.180,-1,40.000,0.359,0
09:20:15.218,0.220,0.870,0.170,-1,39.700,0.359,0
09:20:15.250,0.230,0.890,0.190,-1,40.000,0.357,0
09:20:15.281,0.230,0.920,0.180,-1,40.000,0.359,0
09:20:15.312,0.230,0.910,0.170,-1,40.000,0.360,0
09:20:15.343,0.240,0.910,0.180,-1,40.000,0.359,0
09:20:15.375,0.240,0.920,0.210,-1,40.000,0.359,0
09:20:15.406,0.240,0.880,0.210,-1,39.700,0.360,0
09:20:15.437,0.230,0.860,0.210,-1,39.700,0.359,0
09:20:15.468,0.240,0.820,0.210,-1,39.700,0.359,0
09:20:15.500,0.220,0.830,0.250,-1,39.700,0.357,0
09:20:15.531,0.230,0.900,0.250,-1,39.700,0.357,0
09:20:15.562,0.240,0.950,0.300,-1,39.700,0.357,0
09:20:15.593,0.200,0.950,0.260,-1,40.000,0.357,0
09:20:15.625,0.200,0.860,0.340,-1,39.700,0.357,0
09:20:15.656,0.280,0.990,0.450,-1,39.700,0.357,0
09:20:15.687,0.330,1.000,0.400,-1,39.700,0.358,0
09:20:15.718,0.200,0.760,0.270,-1,39.700,0.354,0
09:20:15.750,0.120,0.780,0.290,-1,39.700,0.354,0
09:20:15.781,0.190,0.940,0.420,-1,39.700,0.354,0
09:20:15.812,0.220,0.930,0.440,-1,39.700,0.357,0
09:20:15.843,0.230,0.930,0.400,-1,39.700,0.354,0
09:20:15.875,0.240,0.860,0.400,-1,39.700,0.354,0
09:20:15.906,0.240,0.870,0.420,-1,39.700,0.357,0
09:20:15.937,0.250,0.920,0.440,-1,39.700,0.354,0
09:20:15.968,0.230,0.860,0.400,-1,39.700,0.354,0
09:20:16.000,0.260,0.830,0.380,-1,39.700,0.354,0
09:20:16.031,0.270,0.830,0.390,-1,39.700,0.357,0
09:20:16.062,0.270,0.850,0.410,-1,39.700,0.354,0
09:20:16.093,0.270,0.860,0.420,-1,39.700,0.354,0
09:20:16.125,0.270,0.810,0.420,-1,39.700,0.351,0
09:20:16.156,0.230,0.800,0.390,-1,39.700,0.351,0
09:20:16.187,0.230,0.880,0.430,-1,39.700,0.351,0
09:20:16.218,0.240,0.790,0.440,-1,39.700,0.351,0
09:20:16.250,0.250,0.920,0.450,-1,39.700,0.351,0
09:20:16.281,0.250,0.820,0.430,-1,39.700,0.351,0
09:20:16.312,0.280,0.740,0.520,-1,39.700,0.351,0
09:20:16.343,0.300,0.820,0.530,-1,39.700,0.348,0
09:20:16.375,0.320,0.790,0.630,-1,39.700,0.348,0
09:20:16.406,0.270,0.770,0.570,-1,39.700,0.348,0
09:20:16.437,0.270,0.770,0.590,-1,39.700,0.346,0
09:20:16.468,0.220,0.920,0.580,-1,39.700,0.342,0
09:20:16.500,0.200,0.870,0.580,-1,39.700,0.342,0
09:20:16.531,0.180,0.790,0.540,-1,39.700,0.342,0
09:20:16.562,0.210,0.830,0.630,-1,39.700,0.342,0
09:20:16.593,0.240,0.880,0.620,-1,39.700,0.342,0
09:20:16.625,0.260,0.740,0.640,-1,39.700,0.340,0
09:20:16.656,0.220,0.790,0.640,-1,39.700,0.340,0
09:20:16.687,0.230,0.720,0.650,-1,39.700,0.337,0
09:20:16.718,0.240,0.770,0.690,-1,39.700,0.334,0
09:20:16.750,0.240,0.820,0.630,-1,39.700,0.331,0
09:20:16.781,0.200,0.690,0.550,-1,39.700,0.329,0
09:20:16.812,0.220,0.770,0.630,-1,39.500,0.329,0
09:20:16.843,0.220,0.760,0.610,-1,39.700,0.329,0
09:20:16.875,0.220,0.730,0.600,-1,39.700,0.329,0
09:20:16.906,0.230,0.780,0.630,-1,39.700,0.329,0
09:20:16.937,0.240,0.800,0.680,-1,39.700,0.329,0
09:20:16.968,0.240,0.760,0.650,-1,39.700,0.329,0
09:20:17.000,0.250,0.740,0.640,-1,39.700,0.331,0
09:20:17.031,0.250,0.740,0.640,-1,39.700,0.329,0
09:20:17.062,0.260,0.760,0.670,-1,39.500,0.334,0
09:20:17.093,0.270,0.750,0.660,-1,39.700,0.334,0
09:20:17.125,0.270,0.730,0.640,-1,39.500,0.334,0
09:20:17.156,0.270,0.750,0.630,-1,39.500,0.334,0
09:20:17.187,0.260,0.810,0.610,-1,39.500,0.334,0
09:20:17.218,0.260,0.780,0.610,-1,39.700,0.334,0
09:20:17.250,0.270,0.790,0.580,-1,39.700,0.334,0
09:20:17.281,0.270,0.800,0.580,-1,39.700,0.334,0
09:20:17.312,0.250,0.790,0.530,-1,39.500,0.334,0
09:20:17.343,0.250,0.760,0.610,-1,39.500,0.334,0
09:20:17.375,0.250,0.770,0.580,-1,39.500,0.334,0
09:20:17.406,0.260,0.770,0.590,-1,39.500,0.334,0
09:20:17.437,0.260,0.800,0.600,-1,39.500,0.334,0
09:20:17.468,0.250,0.770,0.580,-1,39.500,0.334,0
09:20:17.500,0.260,0.800,0.580,-1,39.500,0.334,0
09:20:17.531,0.250,0.780,0.600,-1,39.500,0.334,0
09:20:17.562,0.240,0.740,0.670,-1,39.500,0.334,0
09:20:17.593,0.280,0.800,0.660,-1,39.500,0.334,0
09:20:17.625,0.250,0.730,0.670,-1,39.500,0.334,0
09:20:17.656,0.270,0.760,0.690,-1,39.500,0.334,0
09:20:17.687,0.260,0.740,0.710,-1,39.500,0.329,0
09:20:17.718,0.260,0.710,0.730,-1,39.500,0.329,0
09:20:17.750,0.260,0.730,0.740,-1,39.500,0.329,0
09:20:17.781,0.250,0.710,0.740,-1,39.500,0.329,0
09:20:17.812,0.240,0.700,0.730,-1,39.500,0.329,0
09:20:17.843,0.230,0.710,0.730,-1,39.500,0.332,0
09:20:17.875,0.220,0.710,0.720,-1,39.500,0.334,0
09:20:17.906,0.210,0.700,0.730,-1,39.500,0.334,0
09:20:17.937,0.220,0.710,0.730,-1,39.500,0.334,0
09:20:17.968,0.230,0.720,0.740,-1,39.500,0.331,0
09:20:18.000,0.230,0.720,0.720,-1,39.500,0.332,0
09:20:18.031,0.240,0.710,0.720,-1,39.500,0.329,0
09:20:18.062,0.240,0.730,0.730,-1,39.500,0.329,0
09:20:18.093,0.230,0.730,0.730,-1,39.500,0.332,0
09:20:18.125,0.220,0.730,0.720,-1,39.500,0.329,0
09:20:18.156,0.220,0.730,0.730,-1,39.500,0.329,0
09:20:18.187,0.210,0.720,0.700,-1,39.500,0.329,0
09:20:18.218,0.230,0.720,0.710,-1,39.500,0.329,0
09:20:18.250,0.230,0.740,0.710,-1,39.500,0.329,0
09:20:18.281,0.220,0.730,0.690,-1,39.500,0.329,0
09:20:18.312,0.230,0.740,0.710,-1,39.500,0.329,0
09:20:18.343,0.220,0.730,0.720,-1,39.500,0.329,0
09:20:18.375,0.220,0.760,0.720,-1,39.500,0.329,0
09:20:18.406,0.200,0.730,0.670,-1,39.500,0.329,0
09:20:18.437,0.210,0.720,0.670,-1,39.500,0.329,0
09:20:18.468,0.210,0.730,0.690,-1,39.500,0.329,0
09:20:18.500,0.220,0.740,0.740,-1,39.500,0.329,0
09:20:18.531,0.230,0.700,0.700,-1,39.500,0.329,0
09:20:18.562,0.220,0.720,0.710,-1,39.500,0.329,0
09:20:18.593,0.240,0.660,0.720,-1,39.500,0.329,0
09:20:18.625,0.220,0.730,0.720,-1,39.500,0.329,0
09:20:18.656,0.210,0.740,0.720,-1,39.500,0.329,0
09:20:18.687,0.210,0.750,0.780,-1,39.500,0.329,0
09:20:18.718,0.220,0.740,0.790,-1,39.500,0.329,0
09:20:18.750,0.220,0.760,0.740,-1,39.500,0.329,0
09:20:18.781,0.220,0.750,0.730,-1,39.300,0.329,0
09:20:18.812,0.220,0.730,0.740,-1,39.500,0.329,0
09:20:18.843,0.220,0.700,0.720,-1,39.500,0.329,0
09:20:18.875,0.210,0.720,0.730,-1,39.500,0.332,0
09:20:18.906,0.210,0.700,0.730,-1,39.500,0.329,0
09:20:18.937,0.210,0.710,0.730,-1,39.500,0.329,0
09:20:18.968,0.220,0.710,0.730,-1,39.500,0.332,0
09:20:19.000,0.230,0.710,0.740,-1,39.500,0.334,0
09:20:19.031,0.240,0.720,0.740,-1,39.500,0.334,0
09:20:19.062,0.240,0.740,0.750,-1,39.500,0.332,0
09:20:19.093,0.250,0.710,0.740,-1,39.500,0.334,0
09:20:19.125,0.260,0.760,0.750,-1,39.500,0.329,0
09:20:19.156,0.290,0.690,0.750,-1,39.500,0.329,0
09:20:19.187,0.310,0.650,0.760,-1,39.500,0.329,0
09:20:19.218,0.290,0.700,0.750,-1,39.500,0.331,0
09:20:19.250,0.260,0.680,0.720,-1,39.500,0.329,0
09:20:19.281,0.250,0.670,0.730,-1,39.500,0.329,0
09:20:19.312,0.240,0.690,0.710,-1,39.300,0.329,0
09:20:19.343,0.230,0.690,0.700,-1,39.300,0.329,0
09:20:19.375,0.240,0.690,0.740,-1,39.500,0.332,0
09:20:19.406,0.250,0.700,0.740,-1,39.500,0.332,0
09:20:19.437,0.240,0.680,0.740,-1,39.300,0.329,0
09:20:19.468,0.240,0.710,0.770,-1,39.500,0.329,0
09:20:19.500,0.240,0.670,0.750,-1,39.500,0.329,0
09:20:19.531,0.250,0.690,0.770,-1,39.300,0.329,0
09:20:19.562,0.270,0.680,0.790,-1,39.300,0.329,0
09:20:19.593,0.270,0.690,0.780,-1,39.300,0.329,0
09:20:19.625,0.270,0.680,0.770,-1,39.300,0.329,0
09:20:19.656,0.260,0.680,0.750,-1,39.300,0.326,0
09:20:19.687,0.270,0.680,0.750,-1,39.300,0.329,0
09:20:19.718,0.260,0.660,0.730,-1,39.300,0.329,0
09:20:19.750,0.250,0.660,0.690,-1,39.300,0.326,0
09:20:19.781,0.300,0.720,0.820,-1,39.300,0.326,0
09:20:19.812,0.280,0.700,0.750,-1,39.300,0.326,0
09:20:19.843,0.300,0.690,0.780,-1,39.300,0.326,0
09:20:19.875,0.280,0.700,0.780,-1,39.300,0.326,0
09:20:19.906,0.280,0.690,0.760,-1,39.300,0.326,0
09:20:19.937,0.280,0.690,0.790,-1,39.300,0.329,0
09:20:19.968,0.270,0.690,0.780,-1,39.300,0.329,0
09:20:20.000,0.240,0.680,0.760,-1,39.300,0.329,0
09:20:20.031,0.250,0.670,0.770,-1,39.300,0.329,0
09:20:20.062,0.240,0.670,0.750,-1,39.300,0.326,0
09:20:20.093,0.250,0.680,0.750,-1,39.300,0.326,0
09:20:20.125,0.250,0.710,0.730,-1,39.300,0.329,0
09:20:20.156,0.270,0.720,0.720,-1,39.300,0.329,0
09:20:20.187,0.280,0.690,0.700,-1,39.300,0.326,0
09:20:20.218,0.300,0.730,0.720,-1,39.300,0.329,0
09:20:20.250,0.300,0.710,0.700,-1,39.300,0.326,0
